Title: 
 ;2023
Gebied: Vlaams Gewest;132235
Provincie: Antwerpen;42432
Arrondissement: Antwerpen;42432
HEKLA;1364
Aartselaar;220
Edegem;434
Hove;177
Kontich;412
Lint;121
ANTWERPEN;20886
Antwerpen;20886
MINOS;1579
Boechout;194
Borsbeek;204
Mortsel;638
Wijnegem;362
Wommelgem;181
POLITIEZONE RUPEL;1171
Boom;587
Hemiksem;132
Niel;116
Rumst;190
Schelle;146
PZ BRASSCHAAT;647
Brasschaat;647
VOORKEMPEN;1271
Brecht;437
Schilde;295
Zoersel;307
Malle;232
GRENS;1009
Essen;377
Kalmthout;311
Wuustwezel;321
POLITIEZONE NOORD;635
Kapellen;436
Stabroek;199
POLITIE ZARA;322
Ranst;166
Zandhoven;156
PZ SCHOTEN;704
Schoten;704
PZ ZWIJNDRECHT;328
Zwijndrecht;328
BERLAAR - NIJLEN;379
Berlaar;131
Nijlen;248
BODUKAP;836
Bonheiden;106
Duffel;272
Putte;196
Sint-Katelijne-Waver;262
PZ RIVIERENLAND;3350
Bornem;321
Mechelen;2298
Willebroek;394
Puurs-Sint-Amands;337
POLITIEZONE HEIST;481
Heist-op-den-Berg;481
PZ LIER;865
Lier;865
POLITIEZONE KEMPEN N-O;495
Arendonk;146
Ravels;189
Retie;160
POLITIE REGIO TURNHOUT;2135
Baarle-Hertog;27
Beerse;177
Kasterlee;250
Lille;187
Oud-Turnhout;137
Turnhout;1244
Vosselaar;113
BALEN - DESSEL - MOL;1032
Balen;231
Dessel;104
Mol;697
PZ GEEL/LAAKDAL/MEERHOUT;1053
Geel;730
Meerhout;146
Laakdal;177
ZONE NETELAND;795
Grobbendonk;113
Herentals;413
Herenthout;76
Olen;118
Vorselaar;75
ZUIDERKEMPEN;518
Herselt;144
Hulshout;99
Westerlo;275
POLITIEZONE NOORDERKEMPEN;577
Hoogstraten;339
Merksplas;69
Rijkevorsel;169
Provincie: Vlaams-Brabant;22119
Arrondissement: Brussel (Halle-Vilvoorde);12700
POL AMOW;1670
Asse;713
Merchtem;243
Opwijk;223
Wemmel;491
PZ ZENNEVALLEI;2076
Beersel;495
Halle;882
Sint-Pieters-Leeuw;699
PAJOTTENLAND;296
Bever;11
Galmaarden;70
Gooik;46
Herne;59
Pepingen;29
Lennik;81
PZ DILBEEK;902
Dilbeek;902
PZ GRIMBERGEN;798
Grimbergen;798
PZ DRUIVENSTREEK;531
Hoeilaart;164
Overijse;367
KASTZE;760
Kampenhout;148
Steenokkerzeel;217
Zemst;395
POLITIEZONE K-L-M;665
Kapelle-op-den-Bos;104
Londerzeel;286
Meise;275
POLITIEZONE TARL;1004
Liedekerke;328
Ternat;307
Roosdaal;154
Affligem;215
