Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
849000.0,1050,HOUSE,HOUSE,,4.0,250.0,False,0.0,,1.0,8.0,1.0,87.0,87.0,150.0,2.0,0.0,0.0,0.0
587000.0,1060,APARTMENT,APARTMENT,AS_NEW,2.0,118.0,False,0.0,,,,,,,,3.0,0.0,0.0,0.0
278000.0,2340,HOUSE,HOUSE,GOOD,3.0,158.0,True,,,,,,,,808.0,3.0,,,
249000.0,1160,APARTMENT,GROUND_FLOOR,GOOD,0.0,45.0,False,,1.0,1.0,2.0,1.0,7.0,7.0,,,,,1.0
665000.0,1982,HOUSE,HOUSE,,3.0,188.0,True,0.0,,,,,,,440.0,4.0,0.0,0.0,0.0
685000.0,2940,HOUSE,HOUSE,GOOD,2.0,200.0,False,,,1.0,,,,,1353.0,4.0,,,
1450000.0,1040,APARTMENT,APARTMENT,JUST_RENOVATED,4.0,335.0,True,,,1.0,,,,,,3.0,0.0,0.0,1.0
150000.0,1050,APARTMENT,FLAT_STUDIO,TO_BE_DONE_UP,0.0,35.0,False,0.0,,,,,,,,2.0,0.0,0.0,1.0
89000.0,4102,HOUSE,HOUSE,GOOD,1.0,55.0,False,,,1.0,14.0,,,,45.0,2.0,,,
,4430,HOUSE_GROUP,HOUSE_GROUP,,,,False,,,,,,,,,,,,
375000.0,2440,HOUSE,HOUSE,GOOD,3.0,159.0,False,,,,,,,,710.0,4.0,,,
159000.0,1070,APARTMENT,APARTMENT,,2.0,68.0,False,,,,,,,,,2.0,,,
189000.0,8400,APARTMENT,APARTMENT,,2.0,50.0,False,,,,,,,,,,,,
350000.0,1400,HOUSE,VILLA,TO_BE_DONE_UP,2.0,128.0,False,,1.0,,,1.0,1.0,1.0,802.0,4.0,0.0,0.0,0.0
5490000.0,8300,HOUSE,HOUSE,TO_RENOVATE,5.0,241.0,True,0.0,,1.0,,,,,1526.0,4.0,,0.0,
595000.0,8300,APARTMENT,APARTMENT,,3.0,110.0,False,,,1.0,,,,,,,,,
248500.0,7070,APARTMENT,APARTMENT,,2.0,102.0,False,,,1.0,4.0,,,,,,,,
,8710,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,
385000.0,3140,APARTMENT,APARTMENT,GOOD,3.0,156.0,False,,,1.0,,,,,,2.0,0.0,,
139000.0,7020,HOUSE,HOUSE,TO_RENOVATE,2.0,,False,0.0,,1.0,,,,,570.0,3.0,,,
351000.0,9800,HOUSE,HOUSE,AS_NEW,3.0,138.0,False,0.0,,,,,,,287.0,3.0,0.0,0.0,0.0
569000.0,9200,HOUSE,HOUSE,GOOD,3.0,240.0,False,,1.0,1.0,60.0,1.0,650.0,650.0,1159.0,,,,
175000.0,2300,APARTMENT,APARTMENT,GOOD,2.0,95.0,False,,,,,,,,,2.0,,,
259000.0,1190,APARTMENT,APARTMENT,,1.0,73.0,True,0.0,,1.0,7.0,,,,,2.0,0.0,1.0,1.0
475000.0,3970,HOUSE,APARTMENT_BLOCK,GOOD,5.0,234.0,False,,,1.0,,,,,155.0,2.0,,,
220000.0,1400,APARTMENT,APARTMENT,AS_NEW,1.0,71.0,True,,,1.0,8.0,,,,,,0.0,0.0,1.0
490000.0,9042,HOUSE,MIXED_USE_BUILDING,GOOD,3.0,485.0,False,0.0,,1.0,,,,,273.0,3.0,0.0,0.0,
279725.0,3590,APARTMENT,DUPLEX,,2.0,95.0,False,,,1.0,10.0,,,,,2.0,,,1.0
389900.0,7750,HOUSE,HOUSE,GOOD,5.0,167.0,False,,,,,,,,727.0,,,,
334900.0,3190,APARTMENT,APARTMENT,AS_NEW,2.0,79.0,False,0.0,,1.0,15.0,1.0,10.0,10.0,,2.0,0.0,0.0,
591182.0,1740,HOUSE,HOUSE,GOOD,3.0,199.0,True,,,,,,,,819.0,,,,
390000.0,9800,APARTMENT,APARTMENT,AS_NEW,2.0,96.0,True,0.0,,1.0,15.0,,,,,2.0,0.0,0.0,1.0
260000.0,5570,HOUSE,APARTMENT_BLOCK,,5.0,300.0,False,0.0,,,,,,,235.0,2.0,0.0,0.0,0.0
215000.0,9300,APARTMENT,APARTMENT,GOOD,3.0,89.0,False,0.0,,,,,,,,,0.0,1.0,1.0
,2600,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,
485000.0,9300,HOUSE,HOUSE,GOOD,6.0,315.0,False,,,1.0,,,,,1047.0,3.0,,,
139000.0,8400,APARTMENT,APARTMENT,GOOD,1.0,,False,0.0,,,,,,,,,,,
190000.0,2940,HOUSE,HOUSE,TO_BE_DONE_UP,1.0,97.0,False,,,1.0,45.0,,,,198.0,3.0,,,
489000.0,1800,HOUSE,HOUSE,JUST_RENOVATED,3.0,160.0,False,0.0,,,,,,,228.0,,,,
,2200,HOUSE_GROUP,HOUSE_GROUP,,,,False,,,,,,,,,,,,
,6840,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,
360000.0,9420,HOUSE,MIXED_USE_BUILDING,,3.0,167.0,False,0.0,,1.0,29.0,1.0,1797.0,1797.0,2323.0,3.0,,,0.0
