price,postal_code,longitude,latitude,region,province,municipality,crime_rate,population_km,prosperity_index,type_of_property,subtype_of_property,state_of_the_building,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,number_of_facades,swimming_pool,crimes,ext_area
475000,1800,50.93012891009888,4.428578360497885,région flamande,brabant flamand (le),vilvoorde,22.742122457582465,2199.23242639698,92.0,apartment,loft,good,3,400.0,0,0.0,0,2.0,0.0,1079.0,0.0
895000,2000,51.248447820724365,4.376134025032607,région flamande,antwerpen,antwerpen,38.33988974941212,2666.2549387733,87.0,apartment,duplex,good,3,286.0,1,0.0,0,2.0,0.0,20886.0,30.0
289000,8680,51.09021185685532,2.9722168338691484,région flamande,flandre occidentale (la),koekelare,9.17639061968959,223.81227740795202,98.0,apartment,apartment,excellent,3,120.0,0,0.0,0,1.0,0.0,81.0,4.0
775000,2980,51.26355606407579,4.682858296150449,région flamande,antwerpen,zoersel,13.609965864254999,583.0956092748111,121.0,house,villa,renovation,4,350.0,0,0.0,0,4.0,0.0,307.0,0.0
1495000,8670,51.121346604412906,2.700626980557324,région flamande,flandre occidentale (la),koksijde,21.62814443516198,427.834882661131,137.0,apartment,duplex,renovation,4,148.0,0,1.0,0,2.0,0.0,466.0,0.0
259000,5030,50.56226114863281,4.697014729356807,région wallonne,namur,gembloux,17.28562801932367,274.63365750317996,110.0,house,house,good,3,154.0,0,0.0,0,4.0,0.0,458.0,200.0
1195000,8300,51.346651571344495,3.331958012765075,région flamande,flandre occidentale (la),knokke-heist,24.697053576920712,527.878757188906,150.0,apartment,duplex,excellent,3,120.0,1,0.0,0,2.0,0.0,803.0,0.0
429210,9052,51.00344710907644,3.7083253028608065,région flamande,flandre orientale (la),gent,45.408517157090024,1708.80636822936,103.0,apartment,apartment,good,2,100.0,1,0.0,0,3.0,0.0,12242.0,12.0
314000,1770,50.866522312514626,4.09303583540632,région flamande,brabant flamand (le),liedekerke,23.40683650895597,1377.24909898443,103.0,apartment,apartment,good,2,96.0,1,0.0,0,4.0,0.0,328.0,10.0
229000,2500,51.13160180554329,4.561792200549251,région flamande,antwerpen,lier,22.63805286574195,766.455002592227,109.0,house,house,good,2,105.0,0,0.0,0,2.0,0.0,865.0,0.0
359000,9300,50.941780843882924,4.047007532896995,région flamande,flandre orientale (la),aalst,18.682345183801306,1156.87598097508,105.0,house,house,excellent,3,122.0,0,0.0,0,2.0,0.0,1700.0,1730.0
260000,9620,50.86893462600802,3.790568577398006,région flamande,flandre orientale (la),zottegem,18.764465016912943,488.761972623482,116.0,house,house,good,3,219.0,0,0.0,0,3.0,0.0,527.0,0.0
375000,1440,50.67878793707231,4.268277717247763,région wallonne,brabant wallon (le),braine-le-château,14.559458951718955,467.972993835029,116.0,apartment,penthouse,excellent,2,124.0,0,0.0,0,2.0,0.0,155.0,30.0
340000,2150,51.19145932067747,4.487687146271747,région flamande,antwerpen,borsbeek,0.3744775212525172,2666.2549387733,87.0,house,apartment_block,renovation,4,270.0,0,0.0,0,2.0,0.0,204.0,0.0
345000,8200,51.19372229465939,3.1708734667446055,région flamande,flandre occidentale (la),brugge,29.52389692080521,850.208400321997,110.0,apartment,apartment,good,2,81.0,0,0.0,0,2.0,0.0,3539.0,0.0
315000,9100,51.16368187628335,4.156645019474472,région flamande,flandre orientale (la),sint-niklaas,26.031296189975937,972.2665027104879,96.0,house,house,renovation,4,145.0,0,0.0,0,4.0,0.0,2131.0,0.0
215000,2018,51.248447820724365,4.376134025032607,région flamande,antwerpen,antwerpen,38.33988974941212,2666.2549387733,87.0,apartment,apartment,good,1,53.0,1,0.0,0,2.0,0.0,20886.0,0.0
560000,9000,51.053260703972086,3.720262345300755,région flamande,flandre orientale (la),gent,45.408517157090024,1708.80636822936,103.0,house,house,good,4,152.0,0,0.0,0,2.0,0.0,12242.0,23.0
